title,content,subject
week 7 math,"answer questions on chapter 7 document based on videos below
https://www.youtube.com/watch?v=EZMGWzoNvnQ&amp;feature=youtu.be
https://www.youtube.com/watch?v=bhF9t6YGyKE
https://www.youtube.com/watch?v=s617z_26nXU
---- 
part 2
This is the second part to the case study that you will be doing throughout the semester. This project shows you how to run tests, analyze the results, and draw conclusions. All directions and steps for the tests that need to be performed can be seen starting on the second page of the Chapter 7 Statcrunch Document.
Please follow the formatting guidance listed in the template:
- Introduce the data you are working with
- Introduce the test you will be doing
- Insert the first test images scaled to fit the document
- Discuss your findings and introduce the next test
- Insert second test results scaled to fit the document
- Discuss the findings and any conclusions
This is to be in paragraph form. Times new roman font and double spacing should be used. DO NOT put labels like task 1, task 2. DO NOT just post all your images and put a paragraph at the bottom. DO NOT provide multiple separate uploads. 
There is a rubric for this assignment and I allow you to resubmit. Please view the rubric carefully.",Homework Answsers
math chapter 8,"Part 1 discussion post
The purpose of this activity is to find resources of your own related to concepts of this week and then evaluate other student's resources. 
1. Find a website, applet, video or text example on the law of large numbers, sampling distributions or the central limit theorem or other concepts we have covered this week in chapter 8. Put the link to this source in your post. (+3)
2. Explain why you chose your website, video, example/concept, include specifically how it helped you understand a specific concept. (+3)
---------
Use these videos to answer questions on worksheet attached
https://www.youtube.com/watch?v=zDRZHUcbYPg
https://www.youtube.com/watch?v=ngEXYBVEu9A",Homework Answsers
Mathematics Math homework,Instructions post it as pdf,Homework Answsers
sistema de ecuaciones,español,Homework Answsers
day 5c,,Homework Answsers
math week 9,"Watch videos to answer lecture 9 questions
https://www.youtube.com/watch?v=8a3FaD6k87s
https://www.youtube.com/watch?v=mXShwOHCykk
https://www.youtube.com/watch?v=hnsioH_NqWA
---------
This is the third part to the case study that you will be doing throughout the semester. This project shows you how to run tests, analyze the results, and draw conclusions. All directions and steps for the tests that need to be performed can be seen starting on the second page of the Chapter 9 Statcrunch Document.
Please follow the formatting guidance listed in the template:
- Introduce the data you are working with
- Introduce the test you will be doing
- Insert the first test images scaled to fit the document
- Discuss your findings and introduce the next test
- Insert second test results scaled to fit the document
- Discuss the findings and any conclusions
This is to be in paragraph form and should flow.. Times new roman font and double spacing should be used. DO NOT put labels like task 1, task 2. DO NOT just post all your images and put a paragraph at the bottom. DO NOT provide multiple separate uploads.",Homework Answsers
ODE,"Obtain the general solution of the following DEs:
i. y′′′ + y′′ − 4y′ + 2y = 0

ii. y(4) + 4y(2) = 0
iii. x(x − 2)y′′ + 2(x − 1)y′ − 2y = 0; use y1 = (1 − x)

iv. y′′ − 4y = sin2(x)

v. y′′ − 4y′ + 3y = x ; use y1 = e3x

vi. y′′ + 5y′ + 6y = e2xcos(x)

vii. y′′ + y = sec(x) tan(x)",Homework Answsers
Discussion post,"Math anxiety, simply defined, involves an anxiety about one’s ability to do math. As a math teacher, you will encounter many students who struggle with math, not necessarily because they don’t understand a specific concept but because they don’t have confidence in their ability to be successful in math. How might you combat math anxiety in your future classroom? Have you used any techniques, activities, etc. that have worked to ease a student’s anxiety? Did you struggle with math anxiety at any point? Discuss math anxiety with your colleagues and how you might deal with this very real issue in your classrooms.",Homework Answsers
Interdisciplinary Lesson Plan 4th Grade Math State of Texas,"For this assignment, you will create an interdisciplinary lesson that targets objectives for your content area and grade level, along with targeting one objective for English/Language Arts/Reading for your grade level. Keep the following in mind as you prepare your lesson plan:

  Include the grade and content area in which you are pursuing licensure.
  Find a piece of reading that you will share with your students. This can be a storybook, a nonfiction book, a set of instructions, a poem, a song, an article, a current event article, an excerpt from a book, a single chapter from a novel,  a short story, or any other type of reading you can think of. Make sure to include a link to the piece of reading or include the full text of the reading in your lesson plan document. Many storybooks are on YouTube, so a link to the YouTube video of someone reading the book is acceptable. Include an explanation regarding why you chose this piece of reading and how it connects to your content area.
  Copy/paste the number/letter code and full wording of each state standard you plan to target for your content area and grade level. Copy/paste the number/letter code and full wording of ONE state standard for English/Language Arts/Reading (ELAR) for your grade level that you plan to target in your lesson. Do not include extra standards. Only include the standards you will use to create your objectives. If you are seeking certification for secondary English, you will copy/paste at least TWO state standards for ELAR and one state standard for either math, social studies, or science.
  Create a properly written objective for each state standard that you have referenced. You should include at least 2 objectives, but no more than 4 objectives in total. If you are seeking certification for secondary English/Language Arts, then you will choose one of the other 3 core content areas to include in your lesson (math, social studies, science). Then include at least two English objectives and one objective from either math, social studies, or science.
  Include a warm-up for your lesson that introduces the topic of the piece of reading you will share with your students and that introduces your objectives.
  Instructional Strategies: Explain how you will use high-yield strategies to teach your objectives and guide the learning. Explain how you will include one specific literacy strategy to teach your ELAR objective. This should be the most detailed section of your lesson plan and should be highly focused on what you will do and not what your students will do.
  Include a list of materials needed for the lesson including technology
  Include a lesson closure / formative assessment. Note you must address BOTH components in order to earn full points on the rubric. Your closure activity may include a formative assessment component, but if you are combining the two, you must make this explicit in your plan. Make sure to show evidence of directly teaching the skills and concepts you plan to assess in the instructional strategies section. The assessments you plan need to make sense with the lesson you plan in the instructional strategies section. This is where you can explain what your students will do.
  Include a plan for summative assessment. Make sure to show evidence of directly teaching the skills and concepts you plan to assess in the instructional strategies section. Your summative assessment needs to directly assess the skills and concepts from your direct teaching in the instructional strategies section.
  Provide a plan to reinforce your objectives either through homework or during class the next day.",Homework Answsers
Mathematics Literacy Instructional Strategies Assignment,"Directions:

  Identify two books or texts that your students will read. Make sure the books/texts are grade-level appropriate and align with your content area. See the rubric for specific requirements. You must provide your grade level and content area of licensure in the assignment. The instructor needs to be able to check that your chosen books/texts connect to your content area and that they are grade-level appropriate.
  Combine the course readings from modules 1 and 2 with independent research on literacy instructional strategies in order to create plans to assess students' literacy focusing on each dimension of literacy - oral language, phonological awareness, phonics, fluency, vocabulary, and comprehension.
  Make sure that your plans connect to the books that your students will read by including specific vocabulary from the book in word-based activities and include specific comprehension strategies when assessing comprehension. Make sure to plan for assessing phonological awareness, phonics, and fluency even if you plan to teach at the secondary level. You should apply different strategies to each book/text and not the same strategies.
  Cite the credible sources from outside this course that you found through your research on literacy instruction to create your plans. Include a synthesis of your research. What did you learn about teaching and assessing literacy from reading modules 1 and 2, along with your independent research? This should be a detailed reflection of learning and how you envision teaching, promoting, and assessing literacy no matter what grade level or content area you teach. If you teach a content area other than literacy, discuss how you can integrate literacy activities in your content area.",Homework Answsers
project 3 math,"Now you will type your findings for the week. First you need to write your interpretation sentences for each of the confidence intervals (There should be 6 total). This can be written in the form: We are __% confident that the average income for _______ is between _______. Next you need to discuss what happened to the confidence intervals as you increased the confidence level. Then compare the confidence intervals across the 3 variables (overall, White and Black). Are there differences in the average income for individuals based on their race?",Homework Answsers
Math 111,Can someone assist me with this. My major is Sports Medicine.,Homework Answsers
technology platform  4th grade math texas,"Choose a technology platform that allows you to post original activities and assignments.  If you are already employed as a teacher, you may post this on an existing district site IF you are planning to use the materials in your class. Do not post anything on your district page that you will not actually use, as this will be confusing to your students and their parents. 
Create a welcome message and at least two original assignments on the page you create. To be considered for full credit, you need to post directions for a group project.
Examples of acceptable platforms are Google Classroom, Padlet, Class blog, Class website, as well as other platforms that are similar to these. Nearpod is not acceptable for this assignment. If you decide to use your current Google Classroom or similar virtual classroom (Schoology), please include screenshots of the assignments you have posted. These should be screenshots of the assignment explanation and not just the title of the post.
Include a reflection in your assignment submission that discusses how you plan to use your chosen technology platform throughout the school year to -
*Promote cross-curricular learning
*Promote student collaboration (If you teach grades PreK-2nd grade you can reflect on how the chosen platform will help you connect with parents)
*Copy/paste the state standards that each posted assignment/activity targets at the top of your reflection
Make sure to review the rubric for this assignment.
Provide the URL AND provide screenshots that include your name and the learning activities you have created for this assignment. You must provide the URL and screenshots (pictures) of your work in case the instructor is unable to access the page you created. To embed images in your assignment:",Homework Answsers
zearn,"M4|L1  Measure It, Plot ItSign out
Which line plot is divided into eighths?
0
1
2
0
1
2
0
1
2
Good work!
A botanist measured the height of plants in various locations, and recorded the data in the table below. Use the data in the table to create a line plot using 
1
8
 meters.
Location	1	2	3	4	5	6	7	Height of plants (in meters)	1 
3
4
1
2
5
8
1 
3
4
1 
1
8
1
4
1 
3
4
 
Height of plants (in meters)
0",Homework Answsers
math,,Homework Answsers
day hw,,Homework Answsers
Teaching Mathematics 4th grade,"Choose a technology tool that you can integrate into a lesson plan for your content area. Do not write ""social media"" or ""internet."" Specify the platform, e.g., Padlet, Flip, Jamboard, Peardeck, or a specific website that your students will use to learn new information about a specific topic, etc.
  Provide the grade level and content area for which you are planning.
  Copy/paste one state standard for your content area and one ISTE standard. Then create two objectives from the standards you reference - a content area objective and a technology objective.
  How will using this technology enhance the student learning of each objective? Make sure to detail the lesson you will teach to target both objectives.
  What are the risks or drawbacks to using this technology in the classroom? How will you minimize these issues? Make sure to discuss issues specific to the chosen technology tool and not to the use of technology in general.",Homework Answsers
transition math,I will send the USER ID AND PASSWORD once the bid is selected.  I need this done by midnight tonight and paying extra for it,Homework Answsers
"Unit 14 Discussion: Chapter 13, Home Mortgages","In this chapter, we learned how mortgages are used to help people purchase a home.
Please research at least two of the following topics and report your findings:

  How do you ""qualify"" for a home mortgage, that is, what conditions must be met for a bank to approve your home loan?
  What expenses do you need to budget for in addition to the mortgage payment itself?
  What are the pros and cons of home buying vs. renting?

Directions
Participation in Discussion Boards is a required part of this class (5% of your overall course average).
The requirements for this graded Discussion Board are:

  Your initial post is due by the 3rd day of the Discussion Board and must contain at least 100 words.
  You must respond to at least two classmates, and your response posts must contain at least 50 words.
  Please answer any questions posed in the instructor's response to your post(s).
  All posts should be relevant to the week's topic(s) and should include substantive, correct math content.
  All posts should be grammatically correct - please use Spellcheck as necessary.
  Please use APA citation format if you get help from another source (our textbook, another book, a website, etc.). Try to use your own words!",Homework Answsers
Supply Chain Operation Management OPRE.3310,"Dorothee is planning her daughter Elsa’s birthday party which will take place at the Young Chefs Academy (YCA) in Frisco.  The kids will make pizza from scratch, cook it then eat it.    One week before the party date, Dorothee has to communicate to the YCA a fixed number of kids and this number is used to determine the cost of the party. Specifically, the price charged by YCA is equal to $18 times the quoted number of kids.   If, on the day of the party fewer kids show up than the quoted number, Dorothee does not get a refund.  If, on the other hand, more kids show up than the quoted number, she has to pay $25 per extra kid.  Separately, Dorothee will also buy some “goodie bags” at Party City (Elsa’s favorite store) for the kids to take home with them after the party.   These will be purchased one week before the party and cost $5 per bag.    If, after the party, there are some goodie bags left, Dorothee’s friend Mary will buy them back from her for $3 each.   If, on the other hand, there are not enough goodie bags on the day of the party, Dorothee will run to the nearest store and buy a few small gadgets and sweets at a cost of $8 per extra goodie bag needed.   Elsa has invited 20 of her best friends.  Based on this number, the possible number of kids coming to the party, and the corresponding probability, is given in the following table:
A. What is the expected number of kids that will show up on the day of the party?____  kids
B. Suppose Dorothee tells the YCA that 17 kids will come to the party and picks up 17 goodie bags from Party City but in fact 18 kids show up on the day of the party.  How much is her total cost? $______ 
C. Suppose Dorothee tells the YCA that 17 kids will come to the party and picks up 17 goodie bags from Party City but in fact only 14 show up show up on the day of the party.  How much is her total cost? $_____ 
D. Suppose Dorothee decides to tell the YCA that 17 kids will come to the party and picks up 17 goodie bags from Party city. 

  What is her expected total cost? $______
  What is the expected number of goodie bags which will be sold to Mary after the party? _______goodie bags
  What is her probability of running out of goodie bags (i.e., stock-out probability)? ______ %
  What proportion of goodie bags given to the kids can she expect will be coming from the ones bought at Party City (i.e., fill rate)?  ______%
  What is the probability that her total cost for the party (YCA plus goodie bags) is above $400? _____%

E. Assume that the number of kids Dorothee quotes to the YCA is also the number of goodie bags she buys at Party City one week before the party.    What should this number be if Dorothee wishes to minimize her expected total cost, that is, the expected total cost of the party (YCA plus goodie bags)?  ______kids
F. How many goodie bags should Dorothee buy at Party City to make sure there is less than a 10% chance that she needs to run to the nearest store to buy gadgets for the missing goodie bags?  ______goodie bags
G. How much would Dorothee expect to spend on the party if she could see the future, that is, if she could predict for sure how many kids will come to the party? $________
H. Calculate the expected mismatch cost if Dorothee communicates a number of 17 kids coming to the party and purchases 17 goodie bags at Party City.  $______",Homework Answsers
Math,"For your initial posting, based on the concepts from this unit, answer at least two of the following:

  Share a thing that you learned about linear or exponential growth.
  Share a resource you found that was helpful to your understanding of the concepts in this unit.
  Ask a question about linear or exponential growth.
  Post a relevant or encouraging meme about linear or exponential growth.",Homework Answsers
5 questions,"Check attached question. Make sure you can answer Need 100% complete answer. Thank you
Check attached question. Make sure you can answer Need 100% complete answer. Thank you
Check attached question. Make sure you can answer Need 100% complete answer. Thank you",Homework Answsers
Charts and Graphs discussion,"Charts and graphs are often used to present statistics in newspapers, magazines, books, and various online articles. There are pros and cons to using these types of visual representations.
Describe one pro and one con of using a graph or chart. Then, share an example of a time when a data visualization (like a graph or chart) changed your mind about something or gave you a deeper understanding of a topic or current event.",Homework Answsers
as attached,"You are the vehicle dispatcher for a delivery service that serves a mix of ‘easy’ customers who are quite pleasant when the driver arrives and ‘hard’ customers who are difficult to manage. In order to keep the drivers happy, you never assign a driver to visit two hard customers in a row. Thus, for each driver, given a set of ‘easy’ and ‘hard’ customers to visit, your goal is to minimize the travel time to visit all customers, starting and returning from the company depot, satisfying the constraint that a hard customer visit cannot be followed by another hard customer.
This problem can be infeasible if the number of hard customers is greater than the number of easy customers. Let’s assume that this is sometimes the case. As dispatcher, you have decided to relax the constraint that a hard customer visit cannot be followed by another hard customer. Rather, you want to minimize the number of times this happens and minimize the route travel length.

  It may not be possible to minimize both terms at once; how would you find a good compromise?
  Formulate the Hard/Easy Customer Traveling Salesman Problem (TSP) with the two term objective function terms. Define any new notation you introduce and explain your formulation in words and present mathematically.
  Develop a heuristic to solve the problem. Clearly present your heuristic.
  Solve the instances posted in the excel file. Solutions should include the visit sequence of nodes and the tour length and # of times a hard customer follows another hard customer for each instance. Your solution should be included on the tab “Sample solution” in the data spreadsheet.",Homework Answsers
Math 3,"Unit 4, we are learning about the graph theory. For this discussion, you will post at least twice - 1) an initial post, and then 2) a reply to a classmate.
For your initial posting, based on the concepts from this unit, answer at least one of the following:

  Share a thing that you learned about graph theory.
  Share a resource you found that was helpful to your understanding of the concepts in this unit.
  Ask a question about graph theory.
  Post a relevant or encouraging meme about graph theory.",Homework Answsers
Math Help,"Does the table represent a function? Explain.
What do you know to be true about the information presented in the table? How do you know?
What do you know to be false about the information presented in the table?  How do you know?
Write in complete sentences, and your post must contain a minimum of 300 words.",Homework Answsers
Math Help,"Does the table represent a function? Explain.
What do you know to be true about the information presented in the table? How do you know?
What do you know to be false about the information presented in the table?  How do you know?
Write in complete sentences, and your post must contain a minimum of 300 words.",Homework Answsers
How to complete this problem?,"1. The graph below describes the fuel remaining in a delivery truck's tank (in liters) as a function of distance (in kilometers) is graphed.
**
a. What is the y-intercept and what does it represent in this situation?
b. What is the approximate average rate of change between the 100th and the 400th kilometer?
c. What is the approximate average rate of change between the 400th and 600th kilometer?
d. How do the answers in b and c compare?  What is going on",Homework Answsers
Maths,"There are 40 fish in a pond. 12 of thefish are breamOf the fish that are not bream, HI aretench and the rest are carpWhat is the ratio of bream to tenchto carp in the pond?Give your answer in its simplest form.",Homework Answsers
assistance need in maths asap,please see attachment,Homework Answsers
discussion,,Homework Answsers
alegebra unit 2,,Homework Answsers
College Statistics Assignment,Please take a look at my attachments before responding. I need a statistics tutor for this assignment.,Homework Answsers
Data driven decisions,"Please view to attached docs for more instructions. Please use attached template.
Imagine you are working in the marketing department of a company. Your supervisor assumes that if the
company spends more on digital advertisements it would lead to an increase in sales. In fact, she hopes
that doubling the budget for digital advertising will result in daily sales that are greater than $10,000. She
wants to solve the problem at hand and asks you to investigate. To verify this assumption, the marketing
department will raise the digital advertisement budget for a six-month period, then analyze the collected
data at the end of that period.
You collect monthly data from the past six months and then randomly sample 30 days. The results of your
sample and your calculations are shown in the Excel file provided in the assignment instructions.

Write a two to three (2–3) page report using the provided template in which you:
1. Construct a box-and-whisker plot for the daily sales.
2. Copy the sample mean, median, and standard deviation for the daily sales.
3. Copy the 95% Confidence Interval for the daily sales.
4. Conduct a hypothesis test to verify if the claim that the mean daily sales is greater than $10,000
is supported. Clearly state the logic of your test, the calculations, and the conclusion of your test.
5. Provide the following discussion based on the conclusion of your test:

a. If you conclude that the mean daily sales is greater than $10,000, provide three (3)
possible causes. Share marketing strategies that will support this upward trend the
company is experiencing.
Or

b. If you conclude that the claim of mean daily sales is not greater than $10,000 is not
supported or justified, provide a detailed explanation to your supervisor of how the
company can increase daily sales. Include marketing strategies that will support an
increase in daily sales. Include your speculation on the reason(s) behind the claim.",Homework Answsers
Suppose a random sample of 49 is selected from a population,,Homework Answsers
"Unit 3 Discussion: Chapter 5, The Golden Ratio and the Fibonacci Numbers","The Golden Ratio is often denoted by the Greek letter phi:  φ.  Its exact value is 1+52 which is approximately equal to 1.618.
In this chapter, we saw how successive quotients of the Fibonacci Numbers get closer and closer to the Golden Ratio:
11=1, 21=2, 32=1.5, 53=1.67, 85=1.6, 138=1.625, 2113=1.615, …
Many people believe that the Golden Ratio, Golden Rectangles, and the Fibonacci Numbers ""appear"" in the real world in places such as:

  Art
  Architecture
  Nature

Please research at least one example of such an ""appearance"" in art, architecture, nature, or someplace else in the real world and post your findings.
Directions
The requirements for this graded Discussion Board are:

  Your initial post is due by the 3rd day of the Discussion Board and must contain at least 100 words.
  You must respond to at least two classmates, and your response posts must contain at least 50 words.
  Please answer any questions posed in the instructor's response to your post(s).
  All posts should be relevant to the week's topic(s) and should include substantive, correct math content.
  All posts should be grammatically correct - please use Spellcheck as necessary.
  Please use APA citation format if you get help from another source (our textbook, another book, a website, etc.). Try to use your own words!",Homework Answsers
"Mathematics Help with math assignment that's due on August 20, 2023",,Homework Answsers
How to Calculate the Area of a Circle: Formula and Explanation,What is the formula to calculate the area of a circle?,Homework Answsers
125-page document is being printed by five printers,,Homework Answsers
Discussion response,I will provide a discussion for you to respond to,Homework Answsers
Mathematics help with assignment,Here's the video for the assignment (  (861) Rational Functions - YouTube),Homework Answsers
Business Analyst working for the ABC Ball Bearing company,,Homework Answsers
help,Help Jake Sully to read the end of  avatar game ?,Homework Answsers
Mathematics help with assignment,"3 things I was learning about exponents and polynomials, factoring polynomials, and rational expressions. you can talk about these in the assignment.",Homework Answsers
idk,"the data below represents the height in centimeters., of the 26 students in ms hendricks sixth grade class if u were to construct a line plot from this data which range would best suit the data?",Homework Answsers
Probability,,Homework Answsers
purchasing power and inflation,"For your data set, use Excel to graph the purchasing power data you selected in Part I and find three models with the input being the number of years since 1910 and the output being the purchasing power. You must find a (a) linear model, (b) Polynomial model of any order (whatever you want), and (c) an exponential or logarithmic model (again your choice - choose what looks best). 

Explain which model is most accurate for each data set (re-watch my Accuracy of Models video if you need the review.) Be sure to copy all scatterplots with the regression model and equation (Just literally CTRL + C the graph and it should paste right into your word processor.)",Homework Answsers
Measures of Central Tendency,"Statistics is the science of organizing and analyzing information to make informed decisions. The following are reading scores for two fifth grade classes. For each class's scores, organize the data, find the mean, mode, median, quartiles, and range, and draw a box and whisker graph for each class using a single number line.
Analyze your results. In sentence form, answer: How are the classes' scores alike, and how are they different. How would you approach instruction for the classes, the same or different?",Homework Answsers
Wk 3 Discussion - Applying Logic [due Thurs],"Respond to the following prompts in a minimum of 175 words:

  Consider a recent interaction you have had with a colleague/friend/acquaintance or item that you saw in the media, including news or social media, that might have included logical errors.
  Share the example as well as the logical errors that are present in the example. Be sure to use terms and concepts from the content covered this week to support your discussion.

Please Note: I get a lot of inappropriate responses for this discussion question since most responses will simply state that what they think is correct is logical, which may not be correct. The response to this discussion question should include common logic fallacies as defined in this weeks material, such as:
If then statements
AND/OR/NOT logic examples
Induction or deduction or inference statements
Correlation is not causation
False dichotomies (there are only two kinds of people in the world, etc)
Circular reasoning
Gamblers fallacy
False Dilemma
etc",Homework Answsers
PBL Math Project,"I've attached the file below, for this project three strategies of ways we can remodel our kitchen in the most affordable way. Also, work cited and make sure to summarize ( 2-3 pages) everything at the end. The file will walk you through all the information needed.",Homework Answsers
see below,"Task: Investigate different types of math required for specific jobs.
1. Use the Internet to research mathematics-related jobs.
2. List three jobs that may interest you, along with the type of math needed for that job.
4. Of those three, choose one that most interests you.
5. Write a paragraph about the job you chose, which includes:
* A description
* Why it interests you
* What education level is required
* Example of a math problem related to your work
Here is a website to get you started.
http://www.cln.org/themes/careers_math.html",Homework Answsers
Biostatistics question,"In the running of a clinical trial, much laboratory data has been collected and hand entered into a data base. There are 50 different lab tests and approximately 1000 values for each test, so there are about 50,000 data points in the data base. To ensure accuracy of these data, a sample must be taken and compared against source documents (i.e. printouts of the data) provided by the laboratories that performed the analyses.
 The study manager for the trial can allocate resources to check up to 15% of the data and he wants the QC efforts to be focused on checking outlier values so that clinically improbable or impossible values may be identified and reviewed. He suggests that the sample consist of the 75 highest and 75 lowest values for each lab test since that represents about 15% of the data. However, he would be delighted if there was a way to select less than 15% of the data and thus free up resources for other study tasks.
 The study statistician is consulted. He suggests calculating the mean and standard deviation for each lab test and including in the sample only the values that are more than 3 standard deviations from the mean.
 Given that the study manager wants the QC efforts to be focused on selecting outlier values, whose method is a better way of selecting the sample? Why? Using what you have learned about measures of central tendency and dispersion, how would your answer change if you knew the data were not normally distributed? Explain your reasoning and answers.
Part 2: Box Plot (1 Point)
Draw a box plot using the Weight data  (at screening) from the Lipids data set located in the Group Project assignment in Canvas (Week 9 Module). Provide the values for the 5-number summary, upper and lower fences, and comment on the data (skewness, outliers, etc.) in your post.  Copy/paste box plots directly into your comments.  If it is necessary to attach a file of your box plot then use a PDF file.In the running of a clinical trial, much laboratory data has been collected and hand entered into a data base. There are 50 different lab tests and approximately 1000 values for each test, so there are about 50,000 data points in the data base. To ensure accuracy of these data, a sample must be taken and compared against source documents (i.e. printouts of the data) provided by the laboratories that performed the analyses.
 The study manager for the trial can allocate resources to check up to 15% of the data and he wants the QC efforts to be focused on checking outlier values so that clinically improbable or impossible values may be identified and reviewed. He suggests that the sample consist of the 75 highest and 75 lowest values for each lab test since that represents about 15% of the data. However, he would be delighted if there was a way to select less than 15% of the data and thus free up resources for other study tasks.
 The study statistician is consulted. He suggests calculating the mean and standard deviation for each lab test and including in the sample only the values that are more than 3 standard deviations from the mean.
 Given that the study manager wants the QC efforts to be focused on selecting outlier values, whose method is a better way of selecting the sample? Why? Using what you have learned about measures of central tendency and dispersion, how would your answer change if you knew the data were not normally distributed? Explain your reasoning and answers.
Part 2: Box Plot (1 Point)
Draw a box plot using the Weight data  (at screening) from the Lipids data set located in the Group Project assignment in Canvas (Week 9 Module). Provide the values for the 5-number summary, upper and lower fences, and comment on the data (skewness, outliers, etc.) in your post.  Copy/paste box plots directly into your comments.  If it is necessary to attach a file of your box plot then use a PDF file.",Homework Answsers
"Which of the following math skills are useful in planning an effective budget?

Data gathering
Finding averages
Estimating
Finding perimeter and area
Organizing data",Which of the following math skills are useful in planning an effective budget?,Homework Answsers
